Species,Peak_x,Peak_y
A.thaliana,0.236398950852842,0.686218183295082
A.thaliana,1.97060181961784,0.148798809319941
A.thaliana,2.97907848786705,0.0137998599621351
T.cacao,3.86838161907275,0.173358816818918
T.hassleriana,0.13226937050323,0.626101902429032
T.hassleriana,2.44649589290763,0.104116891718351
T.hassleriana,5.03584025363983,0.0251721370886444
V.vinifera,0.405263225438768,0.379931276791194
V.vinifera,4.55055439823907,0.0482323278007906
V.vinifera,6.63477901026157,0.0188080512675428
V.vinifera,10.085328645721,0.00102055985085589
S.lycopersicum,1.37457738154362,0.252728940631104
S.lycopersicum,10.5500941800675,0.00212965596977049
